location,date,total_deaths,total_vaccinations,population_density,median_age,aged_70_older,gdp_per_capita,hospital_beds_per_thousand,human_development_index
Singapore,1/23/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/24/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/25/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/26/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/27/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/28/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/29/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/30/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,1/31/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/1/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/2/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/3/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/4/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/5/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/6/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/7/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/8/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/9/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/10/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/11/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/12/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/13/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/14/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
Singapore,2/15/2020,0,0,7915.731,42.4,7.049,59797.75,2.4,0.938
